system:index,VV,‘imageID,.geo
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000017,-14.470290607139036,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0877852524983,40.282772941401284]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000018,-12.143119887590771,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.08753214364035,40.28296355052932]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000001b,-15.812845545608688,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.06851282024797,40.28405095150104]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000002a,-14.796270416717544,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.06826150234377,40.28770185211876]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000037,-12.161073235400996,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.06597806779078,40.28880440464347]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000038,-11.049158744183657,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0661571635691,40.28897100815324]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000003f,-13.697245792847703,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.06856079850246,40.28963517251312]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000041,-11.68953415336895,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07048297095852,40.29054647249877]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000042,-14.047704381269488,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0706487484661,40.29086051423267]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000043,-16.966510495543876,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05766306284605,40.29098877584343]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000044,-8.912387659264393,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07176110824426,40.29110478861378]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000045,-11.973077991079819,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07066209075543,40.291231670021546]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000046,-16.893496148527994,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05823286803366,40.291193775875065]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000048,-13.584621386309152,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05713433730804,40.29127582500727]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000049,-10.411725128662852,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0698605978513,40.291378387486866]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000004a,-11.997598113842479,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07082359044563,40.291407091683205]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000004c,-15.721879781085143,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05792674731111,40.29141525935378]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000004d,-14.620354722724482,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07210047345586,40.29155856236646]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000004e,-13.197321230784056,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.06998706866074,40.291553579148776]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000004f,-9.424045821414488,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05671662858833,40.29155467560079]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000051,-12.109696630814422,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07044695228308,40.29167285058022]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000052,-13.707010997589283,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07096551773668,40.29176568269996]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000053,-13.1881919735255,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07008218812686,40.29192080378088]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000054,-9.972181879464097,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07069345772715,40.29207683840058]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000056,-11.867972808880154,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.073505525127,40.29225628576114]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000057,-12.68245069275933,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05673522488223,40.292480234015464]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000059,-15.191837110908743,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07330901740846,40.29259923864767]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000005a,-16.206899678464726,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0587834158015,40.29257443671406]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000005b,-16.639617435053566,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05723416614833,40.29275629434005]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000005c,-17.3716157547678,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07331170014945,40.29288091011804]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000005d,-9.038951652793122,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0725753634958,40.29294313110148]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000005e,-13.507257373118726,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07220395960542,40.29326257840828]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000005f,-9.144844002407568,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07315505374254,40.29331353845914]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000060,-14.905217869045766,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07212017087156,40.293445325661104]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000061,-12.772373738057631,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07288354861447,40.29357552523658]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000062,-12.493534375773434,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0719824345312,40.29375289730832]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000063,-10.920722850611476,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05669242194,40.29366915099304]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000064,-9.718944338253646,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07273438994216,40.29386066922719]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000066,-10.06186425658634,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.08728767044485,40.29404931436695]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000067,-14.971997340131791,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07131901923725,40.294079361095314]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000068,-10.50031572535116,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07185526908506,40.29415889363124]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000069,-14.573868682765138,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07267773702935,40.29422689374722]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000006a,-12.944187163598075,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07062660813355,40.294387747116744]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000006b,-14.526101612357023,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07121006665855,40.29442288691052]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000006c,-10.612472290875397,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07182221453405,40.2945029195462]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000006d,-7.18866455580394,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07229394811654,40.29460884954935]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000006e,-10.166256300000136,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.08697651509996,40.294735794845174]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000006f,-13.839247020108163,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07255037425452,40.29465077229029]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000070,-11.278220867738986,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07282441534343,40.294683868866535]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000071,-13.505906507037137,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07073356183636,40.29474163698921]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000072,-12.043989676675732,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0736167487858,40.29483660742298]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000073,-15.287425333169383,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07159670175594,40.29482779565925]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000074,-11.362394773424928,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07329479944397,40.29491049466967]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000075,-12.515298768371814,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07098767643214,40.29498919987725]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000076,-13.223953145373269,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0584999959368,40.294897299130916]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000077,-11.17977723292416,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07681390906612,40.29504979756489]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000078,-11.759388109904187,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07634670618228,40.29506015368459]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000079,-11.634278564643969,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07255728757607,40.29507553370336]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000007a,-13.754721683531482,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0721834947348,40.29508648721036]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000007b,-18.610925233028983,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.071645028506,40.295203652128095]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000007c,-11.242532393318035,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0710654922425,40.29533842671732]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000007d,-12.695475146866302,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07133399844523,40.29534466619632]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000007e,-12.498092086548418,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0726528266772,40.2954069932594]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000007f,-14.426629080254756,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07672179910622,40.295456028438444]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000080,-13.029971765790691,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07226675375955,40.2954715146136]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000081,-12.766797617609743,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07185742769022,40.29552694024362]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000083,-9.822595638018232,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07222886551517,40.295726094904225]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000085,-17.406797319531016,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05860700678411,40.29575191783268]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000086,-12.39825331533207,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0766520435834,40.29595181929945]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000088,-15.001362882058675,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0722374822515,40.29599886388891]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000089,-13.509778130112197,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05770613483665,40.29590235592939]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000008a,-14.583646859050566,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05744326186013,40.29591400535795]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000008c,-13.515293257712946,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0767653680373,40.2962610383172]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000008d,-12.085765187908489,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07115459489074,40.29624209379516]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000008e,-12.856805979139,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07050654802356,40.2962378226947]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000008f,-12.153593636117224,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0715981521298,40.29625842714645]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000091,-13.23756602162933,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07235547135556,40.29641094379945]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000095,-12.757682171735114,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.06006773583147,40.296682652557465]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_00000000000000000098,-11.94447282825784,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0593585491108,40.29691932761806]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000009a,-9.327336251823844,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05900225956003,40.29693035559018]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000009b,-13.665461283984348,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.071530983319,40.29704035610411]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000009e,-12.829144575243047,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07736069035693,40.29732895492475]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_0000000000000000009f,-10.537289289943281,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0764551955618,40.29737221221308]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_000000000000000000a0,-13.788884016106431,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07195266521634,40.29744549429446]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_000000000000000000a1,-10.618510449010943,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.0585530847944,40.29740571222554]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_000000000000000000a2,-11.352392233930665,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07539550438275,40.29762904557412]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_000000000000000000a4,-11.577191485676138,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07211388179326,40.29764773630546]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_000000000000000000a5,-12.753477616082638,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.05881981094794,40.297568442993025]}"
S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E_000000000000000000a6,-11.914833697653402,S1B_IW_GRDH_1SDV_20210610T083441_20210610T083506_027292_034280_E13E,"{""type"":""Point"",""coordinates"":[140.07909045917586,40.29772025378446]}"
