no,id1,id2,Date,Pref,Location,LandUse,Crop,Farmer,Collector,Field name in KSAS,x,y,x_53n,y_53n,dsm_AW3D30,AcquisitionDate_S2,B2,B3,B4,B8,B11,B12,AcquisitionId_S1,type,VV,VH,Layer,pH1,pH2,EC,Y1,Humus,CS,FS,Sand,Silt,Clay,TC,TN,CEC,CaO,MgO,K2O,Na2O,BaseSaturation,PAcidAbsCoef,AvailP1,AvailP2,AvailSi1,AvailSi2,HotAvailN,AvailN,UplandAvailN,NH4,NO3,InorgN,FreeIron,WaterExB,Mn,SoilTypeName3,SoilTypeNum,SoilTypeName2,SoilTaxon
502,80001,茨1,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1360621,36.09862176,,,10,20200402,0.041,0.0524,0.0608,0.1014,0.1039,0.0694,,,,,,6.12,,0.07,,4.48689408,,,,,,,,20.36677728,307.052429,45.69601805,22.53785506,,,1400,13.44000531,,31.32555084,,,,,0.723692594,0.103384656,0.82707725,2.367508628,0.403200159,7.145430515,,,,
503,80002,茨2,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1431494,36.09545708,,,7,20200402,0.0401,0.046,0.0518,0.0937,0.1131,0.0747,,,,,,6.04,,0.07,,7.754971484,,,,,,,,35.36434899,630.6817134,101.0559884,30.11741294,,,1900,13.64203373,,44.59895644,,,,,1.04938721,0.314816163,1.364203373,4.344463051,0.293828419,7.174135663,,,,
504,80003,茨3,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1442464,36.0955231,,,7,20200402,0.0427,0.0482,0.0553,0.102,0.131,0.094,,,,,,6.2,,0.08,,7.151142857,,,,,,,,34.64331429,726.768,114.8420571,18.75188571,,,2000,22.248,,37.08,,,,,0.847542857,0.423771429,1.271314286,5.752697143,0.66744,5.757199714,,,,
505,80004,茨4,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1464543,36.09684673,,,7,20200402,0.0451,0.0566,0.0608,0.134,0.1455,0.104,,,,,,6.13,,0.06,,5.84379884,,,,,,,,32.32515755,667.5618856,121.6141921,15.79405092,,,2000,12.63524074,,37.90572221,,,,,1.579405092,0.210587346,1.789992438,4.832979582,0.368527855,6.083341946,,,,
506,80005,茨5,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1452594,36.09687053,,,6,20200402,0.0436,0.0578,0.0621,0.1236,0.1294,0.0921,,,,,,6.11,,0.05,,5.744206737,,,,,,,,28.82585498,592.2402931,103.9827205,18.97265364,,,1900,9.433916174,,36.68745179,,,,,1.572319362,0.209642582,1.781961944,4.727440216,0.429767292,8.920946982,,,,
507,80006,茨6,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1452302,36.09656378,,,7,20200402,0.0348,0.0428,0.0485,0.0828,0.1059,0.0718,,,,,,6.15,,0.07,,6.903076923,,,,,,,,33.06153846,665.5384615,98.75384615,15.50769231,,,2000,10.76923077,,37.15384615,,,,,1.615384615,0.107692308,1.723076923,4.458461538,0.366153846,14.79315385,,,,
508,80007,茨7,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1450673,36.09620147,,,7,20200402,0.0406,0.0491,0.0567,0.0974,0.1117,0.0753,,,,,,6.18,,0.07,,6.522876425,,,,,,,,32.39981382,700.5655108,100.3106819,20.49127298,,,1900,16.09262276,,35.61833838,,,,,1.501978124,0.107284152,1.609262276,4.35573656,0.33258087,9.269753025,,,,
509,80008,茨8,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1476294,36.09468601,,,6,20200402,0.036,0.0418,0.0478,0.0824,0.1036,0.0717,,,,,,6.27,,0.06,,6.212901625,,,,,,,,31.54571393,658.7172807,106.1860811,24.5949634,,,1900,17.10953976,,55.92680809,,,,,1.390150105,0.213869247,1.604019352,3.336360253,0.695075053,6.989514328,,,,
510,80009,茨9,2020,茨城,,水田,水稲,豊島農園,Sagri,,140.1487304,36.09518537,,,6,20200402,0.0379,0.0398,0.0457,0.0734,0.0865,0.0629,,,,,,6.35,,0.06,,5.044866864,,,,,,,,28.79733728,594.0784024,103.4571006,22.6112426,,,1800,10.66568047,,44.15591716,,,,,1.279881657,0.106656805,1.386538462,4.05295858,0.479955621,8.171511095,,,,
221,280001,兵1,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0014367,35.25748073,,,138,20200408,0.1034,0.1286,0.1414,0.28,0.2833,0.2108,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.205988964,-14.19716952,,6.2,,0.09,,3.09,,,,,,5.144902393,0.481835364,20.9,375,72,50.1,,,858,42,,15,,,,,0.4,2.9,3.3,0.88,,,,,,
222,280002,兵2,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0007388,35.25802642,,,139,20200408,0.0677,0.0876,0.0885,0.2408,0.1972,0.1285,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.753963146,-17.47609861,,5.92,,0.03,,2.54,,,,,,1.993617746,0.196608786,13.4,125,23.9,14.3,,,783,14,,7,,,,,0.8,0.4,1.2,1.15,,,,,,
223,280003,兵3,2020,兵庫,丹波市,,小豆・野菜,まるきん農園,Sagri,,135.00102,35.25816799,,,138,20200408,0.0705,0.0885,0.0905,0.2392,0.1961,0.1259,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-6.991402638,-18.09806294,,5.98,,0.04,,2.46,,,,,,2.240154284,0.2234352,12.4,144,25,18.9,,,796,18,,8.5,,,,,0.9,0.5,1.4,1.1,,,,,,
224,280004,兵4,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0012913,35.25832414,,,138,20200408,0.0727,0.0921,0.0945,0.2346,0.2011,0.133,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.044555456,-13.00295288,,5.84,,0.04,,2.41,,,,,,2.130389733,0.207887111,9.4,119,22.7,17,,,739,9,,7.6,,,,,0.9,0.6,1.5,1.07,,,,,,
225,280005,兵5,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0015646,35.25847084,,,137,20200408,0.0755,0.0962,0.0999,0.242,0.2199,0.1494,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.076312649,-17.32731729,,5.91,,0.04,,2.2,,,,,,2.065253371,0.208852187,10.4,142,24.9,15.8,,,796,9,,7.8,,,,,0.6,0.3,0.9,1.03,,,,,,
226,280006,兵6,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0018438,35.25860844,,,137,20200408,0.08,0.0972,0.1002,0.2272,0.2099,0.1399,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-10.48783708,-13.38285929,,6.25,,0.05,,1.96,,,,,,1.833360352,0.178757339,10.9,176,29.6,13.9,,,809,8,,14.2,,,,,0.7,0.3,1,0.82,,,,,,
227,280007,兵7,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0027865,35.25987485,,,140,20200408,0.078,0.0928,0.0943,0.2392,0.219,0.1426,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.2694541,-14.29373737,,5.65,,0.05,,2.04,,,,,,1.890490978,0.181746636,11.1,130,23.2,14.3,,,804,7,,9,,,,,0.7,0.5,1.2,0.87,,,,,,
228,280008,兵8,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.003008,35.26009096,,,139,20200408,0.075,0.093,0.0927,0.2646,0.2094,0.131,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-12.91282184,-15.15492799,,5.54,,0.06,,2.09,,,,,,1.722125551,0.166938746,11.1,129,23.7,14.2,,,775,7,,6.8,,,,,0.8,0.7,1.5,0.85,,,,,,
229,280009,兵9,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0032008,35.26033432,,,142,20200408,0.0755,0.0955,0.092,0.2654,0.2157,0.1365,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.576686937,-17.54779845,,5.8,,0.06,,2.36,,,,,,2.030048733,0.197252678,10.8,126,23.1,15.8,,,523,10,,6.7,,,,,0.7,0.5,1.2,0.74,,,,,,
230,280010,兵10,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0000079,35.25841118,,,137,20200408,0.0698,0.0912,0.0937,0.2406,0.2202,0.1482,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-10.3779254,-15.52113051,,5.94,,0.05,,2.01,,,,,,1.907324825,0.186048869,11.5,155,28.5,17.5,,,620,12,,7,,,,,0.7,0.7,1.4,0.72,,,,,,
231,280011,兵11,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0003113,35.25858428,,,138,20200408,0.0784,0.1048,0.1046,0.2954,0.2402,0.1672,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.471096217,-18.39103234,,6.1,,0.05,,2.34,,,,,,1.706493744,0.165514519,11,145,26,20.4,,,608,10,,10.7,,,,,0.8,1.1,1.9,1.35,,,,,,
232,280012,兵12,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0005629,35.2587234,,,141,20200408,0.0792,0.0999,0.1034,0.2666,0.2353,0.1646,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-7.347274403,-16.63330135,,5.72,,0.05,,2.76,,,,,,1.752127919,0.172756085,9.7,89,22.8,22.9,,,596,10,,7,,,,,1.1,0.5,1.6,1.21,,,,,,
233,280013,兵13,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0008425,35.25888006,,,139,20200408,0.0828,0.1052,0.1072,0.2762,0.2424,0.1747,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.331106237,-19.49542263,,5.92,,0.06,,2.22,,,,,,1.778095553,0.178767576,10.9,137,37,22.4,,,616,18,,7.9,,,,,0.7,1.1,1.8,0.88,,,,,,
234,280014,兵14,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0011171,35.25903209,,,139,20200408,0.0704,0.0875,0.0871,0.2428,0.1955,0.1294,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-6.901608047,-13.11252293,,6.07,,0.04,,2.23,,,,,,2.060715201,0.206160031,10.3,124,25.9,21.7,,,679,16,,7.9,,,,,1,0.4,1.4,1.08,,,,,,
235,280015,兵15,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0013881,35.25917715,,,139,20200408,0.0702,0.0873,0.0854,0.2298,0.1899,0.121,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.842593218,-13.33793926,,5.92,,0.05,,2.36,,,,,,2.314271179,0.22460167,10.8,134,24.3,18.6,,,658,13,,7.9,,,,,0.8,0.5,1.3,1.27,,,,,,
236,280016,兵16,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0016598,35.25932521,,,138,20200408,0.0721,0.089,0.0863,0.2224,0.1904,0.1199,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.531522359,-15.65372714,,5.82,,0.05,,2.41,,,,,,2.243723202,0.217634057,10.9,118,24,17.3,,,620,12,,6.3,,,,,0.7,0.2,0.9,0.67,,,,,,
237,280017,兵17,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0020439,35.25936126,,,137,20200408,0.0686,0.0874,0.0853,0.2148,0.2004,0.1356,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.338386376,-14.72606933,,5.98,,0.05,,2.27,,,,,,2.410109547,0.226178916,12.2,154,21,19.4,,,673,15,,8,,,,,1.1,0.5,1.6,0.85,,,,,,
238,280018,兵18,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,134.9999758,35.25945126,,,138,20200408,0.0705,0.0884,0.0892,0.2356,0.1965,0.1366,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.625990125,-16.63533697,,5.72,,0.06,,2.29,,,,,,2.005125556,0.207985984,10.7,116,24.5,16.9,,,680,9,,12.7,,,,,0.8,0.8,1.6,0.9,,,,,,
239,280019,兵19,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0002547,35.25960498,,,137,20200408,0.0737,0.0901,0.0955,0.2188,0.198,0.1315,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-13.57628011,-14.9265872,,6.11,,0.06,,2.44,,,,,,2.244588194,0.221732046,13,172,32,25.6,,,735,12,,13.4,,,,,1,0.1,1.1,0.8,,,,,,
240,280020,兵20,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0005209,35.25976182,,,139,20200408,0.07,0.0862,0.0879,0.2144,0.1879,0.122,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.127117028,-16.57706329,,5.87,,0.06,,2.12,,,,,,2.420656554,0.241268882,12.1,165,30.8,15.8,,,758,13,,9.2,,,,,0.7,0.2,0.9,0.87,,,,,,
241,280021,兵21,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0007988,35.25990674,,,138,20200408,0.0716,0.0857,0.0858,0.2058,0.1914,0.122,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.727916344,-15.68621904,,5.74,,0.06,,2.32,,,,,,2.377135592,0.235857596,11.3,143,28.1,15,,,751,9,,9.2,,,,,1.1,0.2,1.3,1.08,,,,,,
242,280022,兵22,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0010699,35.26005389,,,139,20200408,0.07,0.0894,0.0902,0.2396,0.1968,0.1307,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-7.366159358,-16.38671011,,5.85,,0.05,,2.31,,,,,,2.066145187,0.217587582,11.7,133,29.3,20.7,,,715,9,,7.9,,,,,0.9,0.8,1.7,1.12,,,,,,
243,280023,兵23,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0013433,35.26020815,,,140,20200408,0.0725,0.0866,0.0866,0.2132,0.1896,0.1241,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-7.773509728,-14.763109,,5.96,,0.06,,2.71,,,,,,2.226218089,0.22623342,13.1,192,31.3,13.5,,,823,11,,11.6,,,,,0.5,0.7,1.2,1.46,,,,,,
244,280024,兵24,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0016163,35.26035669,,,138,20200408,0.071,0.0866,0.0874,0.2096,0.1856,0.1186,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-6.710020661,-15.71056523,,6.35,,0.07,,2.02,,,,,,2.197265909,0.211037038,12.3,208,25.8,12.6,,,681,6,,14.1,,,,,0.5,0.3,0.8,1.37,,,,,,
245,280025,兵25,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0018751,35.26049628,,,140,20200408,0.0712,0.0858,0.0897,0.2204,0.1918,0.1237,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-11.36260733,-15.60504316,,5.77,,0.06,,2.08,,,,,,2.090180327,0.208254353,11,144,25.7,14.5,,,730,8,,8.2,,,,,0.5,0.6,1.1,1.65,,,,,,
246,280026,兵26,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0020767,35.2606058,,,140,20200408,0.0709,0.0847,0.0855,0.213,0.1931,0.1301,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.612959379,-14.58341584,,5.72,,0.06,,2.16,,,,,,2.002802612,0.189570559,10.7,152,22,9.7,,,835,9,,11.4,,,,,0.4,0.4,0.8,1.62,,,,,,
247,280027,兵27,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,134.9997893,35.26015792,,,141,20200408,0.0722,0.0915,0.0924,0.2302,0.205,0.1432,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-7.869541965,-15.21312703,,5.69,,0.05,,2.39,,,,,,1.936106981,0.197364787,10.9,128,23.3,13.9,,,954,13,,8.6,,,,,0.3,0.7,1,1.39,,,,,,
248,280028,兵28,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0001014,35.26034732,,,139,20200408,0.0713,0.0875,0.0896,0.226,0.2032,0.1358,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-12.42955551,-14.56986468,,5.81,,0.06,,2.2,,,,,,2.068111238,0.210143993,10.6,137,24.5,16.9,,,750,13,,7.8,,,,,0.4,1,1.4,"1,14",,,,,,
249,280029,兵29,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0006069,35.26063024,,,140,20200408,0.0731,0.0906,0.0932,0.2306,0.2137,0.1432,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-5.710074111,-16.93211641,,5.75,,0.06,,2.3,,,,,,2.077037596,0.20951306,11.3,134,26.5,18.8,,,843,18,,7.2,,,,,0.5,0.7,1.2,0.98,,,,,,
250,280030,兵30,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0008825,35.26077541,,,140,20200408,0.0731,0.0886,0.0937,0.2066,0.1963,0.1279,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.198700821,-12.16280272,,5.5,,0.07,,2.3,,,,,,2.196172873,0.232347087,11.4,118,27.7,16.6,,,854,11,,6.8,,,,,0.6,0.6,1.2,1.2,,,,,,
251,280031,兵31,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0011488,35.26092704,,,140,20200408,0.0721,0.0913,0.0945,0.2148,0.2037,0.1373,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-10.64075409,-14.58556198,,5.66,,0.07,,2.2,,,,,,2.444388297,0.244182851,12.8,158,31.8,20.9,,,824,12,,8.5,,,,,0.4,0.7,1.1,1.42,,,,,,
252,280032,兵32,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0014783,35.26112251,,,141,20200408,0.0716,0.0858,0.0896,0.2068,0.1972,0.1342,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-9.667213567,-14.81434,,5.81,,0.06,,2.44,,,,,,2.312403455,0.234211694,12.8,185,33,15,,,938,14,,11,,,,,0.4,0.7,1.1,1.3,,,,,,
253,280033,兵33,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,134.9993075,35.26074692,,,137,20200408,0.0747,0.0987,0.1007,0.258,0.2614,0.1944,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.429583694,-12.66338918,,5.95,,0.04,,2.17,,,,,,1.863347916,0.184110058,12,156,33.7,17.1,,,808,9,,10.1,,,,,0.4,0.7,1.1,1.15,,,,,,
254,280034,兵34,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0001431,35.26120059,,,141,20200408,0.07,0.0862,0.0888,0.2204,0.2021,0.1337,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-8.173053226,-15.15743708,,5.66,,0.06,,2.2,,,,,,2.078017367,0.217568295,10.8,132,24,18.6,,,885,17,,7.6,,,,,0.4,1.1,1.5,1.12,,,,,,
255,280035,兵35,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0006835,35.26151528,,,139,20200408,0.0728,0.0877,0.0909,0.188,0.1895,0.1302,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-14.73269639,-19.12314321,,5.72,,0.07,,2.16,,,,,,2.097218988,0.211203958,12.6,174,28.2,13.8,,,839,8,,13,,,,,0.5,0.6,1.1,1.61,,,,,,
256,280036,兵36,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0012197,35.26181676,,,140,20200408,0.0717,0.0818,0.0829,0.1946,0.1867,0.1296,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-6.152000007,-15.567352,,5.82,,0.06,,2.65,,,,,,2.838921865,0.272816705,15.5,221,41.9,12.2,,,1100,11,,12.9,,,,,0.5,0.2,0.7,1.63,,,,,,
257,280037,兵37,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0014291,35.26204765,,,143,20200408,0.0689,0.0873,0.0884,0.1876,0.1945,0.1394,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-7.059946508,-16.17325397,,5.87,,0.07,,2.61,,,,,,2.848970172,0.260588577,16.8,252,43.2,14.6,,,1003,11,,12.4,,,,,0.7,0.7,1.4,1.58,,,,,,
258,280038,兵38,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,134.9999467,35.26192935,,,141,20200408,0.0742,0.0921,0.0943,0.224,0.2295,0.1667,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-10.77037119,-13.91342306,,5.74,,0.05,,2.19,,,,,,2.123209903,0.205082514,11.2,139,26.4,16.1,,,775,13,,7.9,,,,,0.5,0.8,1.3,1.52,,,,,,
259,280039,兵39,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0004942,35.26222491,,,138,20200408,0.0709,0.0865,0.0893,0.2144,0.1947,0.1287,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-7.831987485,-15.64322449,,5.75,,0.07,,2.64,,,,,,2.357032079,0.23560084,11.2,136,29.9,18.8,,,686,8,,8.4,,,,,0.5,0.6,1.1,1.36,,,,,,
260,280040,兵40,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0007671,35.26237538,,,140,20200408,0.0703,0.0829,0.0871,0.1888,0.1872,0.1225,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-10.46875928,-16.29452835,,5.94,,0.07,,2.51,,,,,,2.537567273,0.247983487,14.1,180,37.8,23.5,,,781,22,,11.7,,,,,0.7,1.2,1.9,1.38,,,,,,
261,280041,兵41,2020,兵庫,丹波市,水田,水稲,まるきん農園,Sagri,,135.0010386,35.26252061,,,141,20200408,0.0724,0.0821,0.0843,0.1876,0.1873,0.1245,S1A_IW_GRDH_1SDV_20200413T205954_20200413T210019_032114_03B645_E821,Decending,-6.320957458,-15.02153734,,5.87,,0.08,,2.9,,,,,,2.555853302,0.239884167,15,207,36.5,13.8,,,858,29,,15.6,,,,,0.5,0.7,1.2,1.64,,,,,,
