,id,Address,CityCode,Address_2,LandCatego,Area,Agricult_1,Jurisdicti,名前_漢,耕地面?,水田面?,作物等?,Unnamed_ 1,作物名,転作利?,転作??,地権者_,sensor_loc,distance,uniqueID,作付年_y,H23以前_y,播種月日,geometry
20,05100031709-065129,秋田県八峰町峰浜塙大槻野40-2,53490.0,秋田県八峰町峰浜塙大槻野40-2,1.0,1205.0,農業振興地域内・農用地区域内,八峰町農業委員会,白鳥　禮一,1122.0,1122.0,1122.0,11.22,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,畠山　忠,,11525.0,73.0,,☑,2021/06/30,"MULTIPOLYGON (((-65181.1586459231 31678.78161142567, -65149.38246845533 31699.37338627875, -65131.40387502003 31710.97584152888, -65125.9684570186 31714.9479140635, -65076.80336610236 31745.758744393, -65074.49585719068 31746.80761353542, -65071.97859733883 31744.70988905854, -65072.39814380305 31742.61216399341, -65180.22102246776 31671.70922162799, -65180.94955851955 31675.8549104474, -65181.1586459231 31678.78161142567)))"
21,05100031797-065129,秋田県八峰町峰浜塙大槻野47-1,53490.0,秋田県八峰町峰浜塙大槻野47-1,1.0,1015.0,農業振興地域内・農用地区域内,八峰町農業委員会,白鳥　禮一,1490.0,1490.0,1490.0,14.9,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,畠山　忠,,11025.0,69.0,,☑,2021/06/30,"MULTIPOLYGON (((-65100.81017070634 31829.47863972792, -65097.05452040392 31810.70051701224, -65096.63721940779 31805.06711829673, -65098.72369131308 31803.815228818, -65112.28570203573 31796.92985232215, -65137.53186873525 31781.9073718198, -65155.76905285941 31770.39933991664, -65180.32242125311 31753.25697753446, -65181.34751855228 31754.57470745877, -65179.67838463209 31758.12176673571, -65159.64831976699 31777.73443339084, -65146.50365748886 31788.79267942649, -65143.99992416321 31792.13101306979, -65141.28745744367 31798.80765224087, -65138.57508991606 31800.0596112744, -65124.1785243951 31812.78701287421, -65102.89666805603 31829.89590755779, -65100.81017070634 31829.47863972792)))"
22,05100030723-068876,秋田県八峰町峰浜沼田黒トフ1-10,53490.0,秋田県八峰町峰浜沼田黒トフ1-10,1.0,1431.0,農業振興地域内・農用地区域内,八峰町農業委員会,斉藤　春男,5379.0,5379.0,5379.0,53.79,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,斉藤　春男,,1950.0,8.0,,☑,2021/07/04,"MULTIPOLYGON (((-68902.29809669923 30777.37622708945, -68898.53513261062 30776.43549214422, -68895.58489415106 30774.41121048227, -68890.06843998439 30775.49470447197, -68886.77584506078 30775.49476797411, -68875.01663316991 30776.90588110718, -68871.72402534902 30777.37619485715, -68865.13880532823 30775.96510832957, -68854.19235986224 30773.15687855007, -68849.80217590678 30771.58900539609, -68859.96474426668 30655.0798728018, -68887.71661390569 30657.43173399186, -68905.12027872409 30775.49468904641, -68902.29809669923 30777.37622708945)))"
23,05100030422-065326,秋田県八峰町峰浜小手萩神祇台27-1,53490.0,秋田県八峰町峰浜小手萩神祇台27-1,2.0,2764.0,農業振興地域内・農用地区域内,八峰町農業委員会,佐藤　雅之,2754.0,2754.0,2754.0,27.54,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,佐藤　榮一,,13425.0,89.0,,☑,2021/06/29,"MULTIPOLYGON (((-65366.37262081364 30407.09717213319, -65295.0435866968 30471.56085295308, -65291.53149740875 30467.54703121329, -65293.53838771348 30454.1676514711, -65294.54188559238 30448.05495103076, -65306.66693653293 30417.49960186136, -65312.01876097397 30407.0134805294, -65319.96275058673 30396.7280743488, -65327.32147265521 30390.62371808485, -65339.19569548898 30383.68313897391, -65342.37326814373 30387.780560747, -65346.21990076036 30384.3520736648, -65366.37262081364 30407.09717213319)))"
24,05100031843-063909,秋田県八峰町峰浜塙上才神163,53490.0,秋田県八峰町峰浜塙上才神163,2.0,2944.0,農業振興地域内・農用地区域内,八峰町農業委員会,嶋田　俊英,1920.0,1920.0,1920.0,19.2,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,嶋田　範昭,,16325.0,110.0,,☑,2021/06/27,"MULTIPOLYGON (((-63883.78846201873 31849.7256894324, -63904.60231359597 31822.73823486842, -63908.48289701114 31817.62289653901, -63910.95232527051 31817.27016901847, -63922.41765128489 31826.26600648994, -63928.06206663542 31829.61734611143, -63932.29542638402 31831.38123422571, -63935.9995686274 31834.37988957394, -63929.47320022826 31843.5521222057, -63903.54403981499 31869.92222945338, -63885.02316349341 31853.69448655931, -63883.78846201873 31849.7256894324)))"
25,05100033135-065907,秋田県八峰町峰浜畑谷野田中台11-13,53490.0,秋田県八峰町峰浜畑谷野田中台11-13,1.0,3852.0,農業振興地域内・農用地区域内,八峰町農業委員会,武田　和秋,3976.0,3976.0,3976.0,39.76,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,山崎　芳太郎,8.0,8125.0,46.0,,☑,2021/07/07,"MULTIPOLYGON (((-65916.85882209582 33179.56352831022, -65877.34769340928 33169.73808407383, -65875.6752462688 33168.27468347883, -65876.72053356271 33164.51170812551, -65892.19048363875 33111.83019211921, -65897.62586904994 33091.76111523597, -65905.36083078147 33092.59732164728, -65913.51391206561 33094.06072229989, -65939.22751583921 33101.16847043991, -65937.76410571944 33109.11251799732, -65926.26619768233 33144.23354942961, -65916.85882209582 33179.56352831022)))"
26,05100030504-065386,秋田県八峰町峰浜小手萩神祇台87,53490.0,秋田県八峰町峰浜小手萩神祇台87,1.0,2016.0,農業振興地域内・農用地区域内,八峰町農業委員会,神馬　進悦,1935.0,1935.0,1935.0,19.35,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,神馬　孝子,,13300.0,85.0,,☑,2021/06/29,"MULTIPOLYGON (((-65343.28049228233 30530.49828887622, -65416.31097023151 30463.91572712007, -65427.82264882221 30477.06140250907, -65354.86647264202 30543.0868817201, -65343.28049228233 30530.49828887622)))"
27,05100030461-064318,秋田県八峰町峰浜小手萩若狭台55,53490.0,秋田県八峰町峰浜小手萩若狭台55,1.0,1823.0,農業振興地域内・農用地区域内,八峰町農業委員会,神馬　進悦,1750.0,1750.0,1750.0,17.5,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,神馬　孝子,,14775.0,97.0,,☑,2021/06/29,"MULTIPOLYGON (((-64348.67684687385 30473.7864049945, -64336.00154795308 30474.72533258152, -64293.75075374043 30476.13373820272, -64289.05625679143 30476.13374086433, -64287.64787628406 30474.25585744748, -64287.41314391094 30465.8057568333, -64286.47421689722 30457.8249808722, -64286.94370510659 30455.24302804163, -64290.46461598721 30454.06935334946, -64291.63824834884 30451.95685367528, -64292.34242442903 30449.14013644206, -64293.75079383126 30447.26231146004, -64341.40032971276 30446.32338727246, -64344.68643329737 30448.67067081621, -64346.56424298073 30451.4873555444, -64346.79904307051 30456.65138855312, -64349.85042456418 30460.8764229316, -64349.61570947859 30465.10156477553, -64348.67684687385 30473.7864049945)))"
28,05100030433-064313,秋田県八峰町峰浜小手萩若狭台56,53490.0,秋田県八峰町峰浜小手萩若狭台56,1.0,1420.0,農業振興地域内・農用地区域内,八峰町農業委員会,神馬　進悦,1363.0,1363.0,1363.0,13.63,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,神馬　孝子,,14725.0,96.0,,☑,2021/06/29,"MULTIPOLYGON (((-64341.8697266994 30443.68271944567, -64291.63824010554 30446.03000327287, -64290.22987333764 30441.10071849088, -64290.22986936071 30437.11034012659, -64289.76037555131 30428.89490419539, -64289.5256505279 30423.02676661526, -64290.46456494536 30420.44472356549, -64295.39385897599 30420.21005724063, -64320.27487742126 30419.97535584904, -64326.37778789704 30420.67951590472, -64332.24591577933 30425.60872243459, -64335.53209593648 30429.36441828959, -64339.28774994916 30437.11040746935, -64341.8697266994 30443.68271944567)))"
29,05100030456-065027,秋田県八峰町峰浜小手萩蒲坂台80,53490.0,秋田県八峰町峰浜小手萩蒲坂台80,1.0,1793.0,農業振興地域内・農用地区域内,八峰町農業委員会,神馬　進悦,1669.0,1669.0,1669.0,16.69,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,神馬　芳男,,13750.0,90.0,,☑,2021/06/29,"MULTIPOLYGON (((-65076.63891956181 30431.3621842218, -65010.57802731243 30486.05050678624, -65003.80467545698 30486.05050909014, -64987.80591541999 30467.44793186838, -65028.97472589903 30432.78365355677, -65036.16616801664 30439.30620944568, -65049.29478368582 30432.95099449938, -65056.9043089847 30430.44228813491, -65068.6113031861 30429.43889106909, -65074.38119309851 30429.52245326023, -65076.63891956181 30431.3621842218)))"
30,05100030676-065540,秋田県八峰町峰浜塙神祇林155,53490.0,秋田県八峰町峰浜塙神祇林155,1.0,2603.0,農業振興地域内・農用地区域内,八峰町農業委員会,農事組合法人八峰アグリプロ,2498.0,2498.0,2498.0,24.98,大豆,,,,,12700.0,79.0,,☑,2021/06/29,"MULTIPOLYGON (((-65501.18036496974 30692.64914775309, -65561.14026002804 30638.6593495291, -65580.19026496439 30657.15232589846, -65519.50951665066 30712.62411640092, -65512.82536158515 30707.27674627173, -65503.69022229847 30699.03282091929, -65503.69022990432 30696.13639070908, -65501.18036496974 30692.64914775309)))"
31,05100031160-064305,秋田県八峰町峰浜塙豊後長根218,53490.0,秋田県八峰町峰浜塙豊後長根218,1.0,2420.0,農業振興地域内・農用地区域内,八峰町農業委員会,農事組合法人八峰アグリプロ,2323.0,2323.0,2323.0,23.23,大豆,,,,,15500.0,100.0,,☑,2021/06/26,"MULTIPOLYGON (((-64349.97188562914 31183.09674869484, -64333.66571354635 31201.99513227041, -64259.25942869057 31136.05133735609, -64274.6457616547 31118.27336191825, -64349.97188562914 31183.09674869484)))"
32,05100030598-064269,秋田県八峰町峰浜小手萩若狭台5-1,53490.0,秋田県八峰町峰浜小手萩若狭台5-1,2.0,5101.0,農業振興地域内・農用地区域内,八峰町農業委員会,神馬　広子,2317.0,2317.0,2317.0,23.17,大豆,農事組合法人八峰アグリプロ,峰浜石川字外林３３‐１６,神馬　?子,,14925.0,99.0,,☑,2021/06/29,"MULTIPOLYGON (((-64304.7829341875 30614.85717392639, -64301.02730278223 30615.56139673179, -64284.36167741637 30622.13368337897, -64269.80864102755 30628.23660639329, -64259.48062710208 30631.28802550371, -64254.55139515594 30631.5228129434, -64251.96940983191 30629.41024707685, -64246.80538598112 30626.12409498274, -64244.22339910014 30620.96013017997, -64238.58996183724 30622.13369508457, -64234.13016393042 30620.25587846304, -64229.90508920519 30612.50993392667, -64224.50637544985 30598.1916361432, -64225.44526685162 30596.78323162877, -64229.43565871065 30594.20121969414, -64233.66073209685 30591.38454316879, -64234.5996038157 30593.4970795871, -64236.71218373247 30595.84430235724, -64239.76358416269 30598.19163819671, -64241.87613870743 30597.95689943755, -64247.04016817862 30600.06940089603, -64249.8568900913 30599.599905733, -64253.84720000584 30597.25267515513, -64254.55143818828 30594.20128539795, -64253.37773035064 30588.09836278216, -64252.20409977998 30583.40385709883, -64252.67358842152 30577.53563133566, -64253.612471559 30574.95368331199, -64251.03051994444 30568.8507398958, -64287.64789127426 30558.05331290175, -64298.68000586022 30593.49702224913, -64306.19126427438 30613.70702609395, -64304.7829341875 30614.85717392639)))"
